file,segment_id,start_s,end_s,duration_s
test_long.wav,test_long_seg_000.wav,0.600,2.375,1.775
test_long.wav,test_long_seg_001.wav,5.088,7.600,2.512
test_long.wav,test_long_seg_002.wav,7.950,10.238,2.288
test_long.wav,test_long_seg_003.wav,11.350,13.312,1.963
test_long.wav,test_long_seg_004.wav,13.887,15.963,2.075
test_long.wav,test_long_seg_005.wav,16.587,17.750,1.163
test_long.wav,test_long_seg_006.wav,18.700,21.238,2.538
test_long.wav,test_long_seg_007.wav,23.425,26.012,2.587
test_long.wav,test_long_seg_008.wav,26.663,27.738,1.075
test_long.wav,test_long_seg_009.wav,28.087,30.562,2.475
test_long.wav,test_long_seg_010.wav,31.688,33.538,1.850
test_long.wav,test_long_seg_011.wav,34.500,37.538,3.038
test_long.wav,test_long_seg_012.wav,38.388,41.100,2.712
test_long.wav,test_long_seg_013.wav,41.413,44.438,3.025
test_long.wav,test_long_seg_014.wav,45.325,47.175,1.850
test_long.wav,test_long_seg_015.wav,47.650,49.150,1.500
test_long.wav,test_long_seg_016.wav,49.650,51.475,1.825
test_long.wav,test_long_seg_017.wav,53.475,54.750,1.275
test_long.wav,test_long_seg_018.wav,55.438,60.087,4.650
